,name,team,salary
357,송성문,넥센,3000.0
358,송신영,넥센,19000.0
359,양훈,넥센,15000.0
360,오재영,넥센,8800.0
361,유선정,넥센,3900.0
362,유재신,넥센,6000.0
363,유한준,넥센,60000.0
364,윤석민,넥센,16000.0
365,이상민,넥센,3000.0
366,이정훈,넥센,4900.0
367,이택근,넥센,50000.0
368,임병욱,넥센,4000.0
369,장시윤,넥센,3300.0
370,장영석,넥센,3300.0
371,정회찬,넥센,2700.0
372,조상우,넥센,17000.0
373,피어밴드,넥센,45000.0
374,하영민,넥센,5500.0
375,한현희,넥센,30000.0
376,허정협,넥센,3000.0
377,홍성갑,넥센,3200.0
378,구자욱,삼성,8000.0
379,권오준,삼성,7000.0
380,김건한,삼성,6000.0
381,김기태,삼성,4000.0
382,김상수,삼성,31000.0
383,김재현,삼성,4500.0
384,김정혁,삼성,3300.0
385,김태완,삼성,6000.0
386,김현우,삼성,4500.0
387,박계범,삼성,2900.0
388,박근홍,삼성,11000.0
389,박석민,삼성,75000.0
390,박찬도,삼성,3100.0
391,박한이,삼성,45000.0
392,박해민,삼성,15000.0
393,배영섭,삼성,16000.0
394,백상원,삼성,4500.0
395,백정현,삼성,5500.0
396,신용운,삼성,5500.0
397,심창민,삼성,14000.0
398,안지만,삼성,75000.0
399,우동균,삼성,5500.0
400,윤성환,삼성,80000.0
401,윤영수,삼성,2900.0
402,이상훈,삼성,3500.0
403,이승엽,삼성,100000.0
404,이영욱,삼성,5500.0
405,이정식,삼성,4500.0
406,이지영,삼성,21000.0
407,이흥련,삼성,7500.0
408,임창용,삼성,30000.0
409,임현준,삼성,3300.0
410,장원삼,삼성,75000.0
411,장필준,삼성,2800.0
412,정인욱,삼성,6000.0
413,조현근,삼성,4500.0
414,차우찬,삼성,40000.0
415,채태인,삼성,30000.0
416,최민구,삼성,2900.0
417,최선호,삼성,3500.0
418,최형우,삼성,70000.0
419,고효준,SK,8000.0
420,김강민,SK,60000.0
421,김광현,SK,85000.0
422,김기현,SK,3000.0
423,김민식,SK,3000.0
424,김성현,SK,18000.0
425,김연훈,SK,4700.0
426,김재현,SK,4000.0
427,김태훈,SK,2800.0
428,나주환,SK,20000.0
429,문광은,SK,6000.0
430,박계현,SK,6000.0
431,박민호,SK,4000.0
432,박윤,SK,4000.0
433,박재상,SK,20000.0
434,박정권,SK,40000.0
435,박정배,SK,8000.0
436,박종훈,SK,7000.0
437,박희수,SK,14000.0
438,백인식,SK,3800.0
439,밴와트,SK,40000.0
440,서진용,SK,3000.0
441,세든,SK,40000.0
442,신재웅,SK,16500.0
443,안정광,SK,2900.0
444,유서준,SK,2900.0
445,윤길현,SK,50000.0
446,윤석주,SK,2800.0
447,윤중환,SK,2800.0
448,윤희상,SK,12000.0
449,이대수,SK,35000.0
450,이명기,SK,18000.0
451,이재원,SK,28000.0
452,이진석,SK,2900.0
453,이현석,SK,2700.0
454,전유수,SK,13000.0
455,정상호,SK,50000.0
456,정우람,SK,120000.0
457,정의윤,SK,12000.0
458,조동화,SK,30000.0
459,채병용,SK,25000.0
460,최정,SK,100000.0
461,최정민,SK,3000.0
462,켈리,SK,75000.0
463,허웅,SK,3300.0
